Accession	Organism	Kingdom	Protein_Length	Cleavage_Site	label	Transmembrane_Helix_N_Terminus	fold	Type
Q7RZ62	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	347		0	False	2.0	train
O00154	Homo sapiens	Metazoa	380		0	False	3.0	train
Q0E3V2	Oryza sativa subsp. japonica	Plants	165		0	False	0.0	train
P36141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133		0	False	2.0	train
Q9H1D9	Homo sapiens	Metazoa	316		0	False	2.0	train
Q9Z0M9	Mus musculus	Metazoa	193	28.0	1		0.0	train
Q9CAF6	Arabidopsis thaliana	Plants	950		0	False	0.0	train
P00856	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	48		0	True	0.0	train
P01830	Rattus norvegicus	Metazoa	161	19.0	1		2.0	train
Q7Z591	Homo sapiens	Metazoa	1439		0	False	4.0	train
Q3U6Q4	Mus musculus	Metazoa	756		0	False	4.0	train
O02696	Sus scrofa	Metazoa	877		0	False	0.0	train
Q9M7N6	Solanum lycopersicum	Plants	152		0	False	2.0	train
P05790	Bombyx mori	Metazoa	5263	21.0	1		4.0	train
Q9UT18	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	591		0	False	3.0	train
Q96KR7	Homo sapiens	Metazoa	559		0	False	4.0	train
F4I718	Arabidopsis thaliana	Plants	2136		0	False	4.0	train
P40043	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	161		0	False	3.0	train
Q6UW32	Homo sapiens	Metazoa	110	24.0	1		3.0	train
A6NDU8	Homo sapiens	Metazoa	294		0	False	2.0	train
Q8L5J1	Solanum lycopersicum	Plants	399	26.0	1		4.0	train
Q9H1E3	Homo sapiens	Metazoa	243		0	False	0.0	train
P35053	Rattus norvegicus	Metazoa	558	23.0	1		4.0	train
Q84N48	Zea mays	Plants	611		0	False	0.0	train
Q8C1Q4	Mus musculus	Metazoa	291	21.0	1		3.0	train
Q8WY91	Homo sapiens	Metazoa	577		0	False	2.0	train
O43068	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	421		0	False	3.0	train
Q8WMP9	Bos taurus	Metazoa	407	29.0	1		4.0	train
P14908	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	341		0	False	4.0	train
Q8TAC2	Homo sapiens	Metazoa	188		0	False	2.0	train
Q93YW0	Arabidopsis thaliana	Plants	684		0	False	1.0	train
P0DOY1	Mus musculus	Metazoa	740		0	False	4.0	train
Q8WXG1	Homo sapiens	Metazoa	361		0	False	2.0	train
Q12283	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	360		0	False	2.0	train
P32504	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	956		0	False	2.0	train
P0DJH7	Gallus gallus	Metazoa	80		0	False	3.0	train
P97931	Mus musculus	Metazoa	306		0	False	0.0	train
P91277	Caenorhabditis elegans	Metazoa	397		0	False	0.0	train
Q96PM9	Homo sapiens	Metazoa	386		0	False	3.0	train
Q43715	Pisum sativum	Plants	809		0	False	1.0	train
Q9FLL1	Arabidopsis thaliana	Plants	602		0	False	0.0	train
Q9H816	Homo sapiens	Metazoa	532		0	False	1.0	train
O80796	Arabidopsis thaliana	Plants	330		0	False	4.0	train
P0C7T6	Mus musculus	Metazoa	687		0	False	4.0	train
P08541	Rattus norvegicus	Metazoa	530	23.0	1		4.0	train
Q94BU8	Arabidopsis thaliana	Plants	185		0	False	2.0	train
Q9LFV6	Arabidopsis thaliana	Plants	1011		0	False	0.0	train
P53720	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	384		0	False	3.0	train
Q9LQI7	Arabidopsis thaliana	Plants	227		0	False	2.0	train
Q9SU08	Arabidopsis thaliana	Plants	904		0	False	3.0	train
P02790	Homo sapiens	Metazoa	462	23.0	1		4.0	train
P28776	Mus musculus	Metazoa	407		0	False	1.0	train
B9DGI8	Arabidopsis thaliana	Plants	314		0	False	4.0	train
Q9V629	Drosophila melanogaster	Metazoa	384		0	False	2.0	train
P81909	Drosophila melanogaster	Metazoa	397		0	True	0.0	train
P36402	Homo sapiens	Metazoa	384		0	False	4.0	train
Q5JVS0	Homo sapiens	Metazoa	413		0	False	3.0	train
Q92186	Homo sapiens	Metazoa	375		0	True	4.0	train
Q8NI27	Homo sapiens	Metazoa	1593		0	False	4.0	train
P53835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	661		0	True	0.0	train
P07213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	617		0	True	1.0	train
P62806	Mus musculus	Metazoa	103		0	False	2.0	train
O95905	Homo sapiens	Metazoa	644		0	False	1.0	train
P55899	Homo sapiens	Metazoa	365	23.0	1		2.0	train
P34122	Dictyostelium discoideum	Other	287		0	False	3.0	train
P79083	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	328		0	False	4.0	train
Q8LE98	Arabidopsis thaliana	Plants	344		0	False	0.0	train
Q9P7B7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	295		0	False	4.0	train
P40167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	298		0	False	2.0	train
Q10272	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	446		0	False	0.0	train
O74458	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1006		0	False	1.0	train
P29692	Homo sapiens	Metazoa	281		0	False	2.0	train
P23326	Spinacia oleracea	Plants	159		0	False	0.0	train
Q03193	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	310		0	True	2.0	train
Q9Y3S1	Homo sapiens	Metazoa	2297		0	False	4.0	train
F4HQA1	Arabidopsis thaliana	Plants	589		0	False	0.0	train
Q9NPR2	Homo sapiens	Metazoa	837	43.0	1		1.0	train
O08774	Rattus norvegicus	Metazoa	1387		0	False	2.0	train
Q7ZZN8	Naja atra	Metazoa	238	19.0	1		1.0	train
Q42687	Chlamydomonas reinhardtii	Plants	219		0	False	0.0	train
P21374	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	235		0	False	4.0	train
O64973	Arabidopsis thaliana	Plants	889		0	False	3.0	train
O44476	Caenorhabditis elegans	Metazoa	833		0	False	1.0	train
Q9HAW0	Homo sapiens	Metazoa	419		0	False	1.0	train
Q9W413	Drosophila melanogaster	Metazoa	544		0	False	0.0	train
Q0P569	Bos taurus	Metazoa	474	24.0	1		0.0	train
Q3E7Y6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	73		0	False	0.0	train
Q8H157	Arabidopsis thaliana	Plants	585		0	True	1.0	train
P03911	Mus musculus	Metazoa	459		0	True	0.0	train
Q8LAP6	Arabidopsis thaliana	Plants	409		0	False	2.0	train
Q9WU12	Mus musculus	Metazoa	71		0	False	0.0	train
Q12035	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	217		0	False	0.0	train
P52172	Drosophila melanogaster	Metazoa	1264		0	False	3.0	train
Q9V4P1	Drosophila melanogaster	Metazoa	1239		0	False	4.0	train
Q8N5P1	Homo sapiens	Metazoa	291		0	False	1.0	train
Q9ASS2	Arabidopsis thaliana	Plants	601		0	False	1.0	train
O93233	Gloydius brevicaudus siniticus	Metazoa	331	23.0	1		4.0	train
P48765	Bos taurus	Metazoa	970	32.0	1		4.0	train
O59767	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	310		0	False	4.0	train
O74359	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	663		0	False	4.0	train
Q9NWY4	Homo sapiens	Metazoa	346		0	False	2.0	train
Q96JN0	Homo sapiens	Metazoa	433		0	False	0.0	train
P25576	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	258		0	False	0.0	train
Q9T0H9	Arabidopsis thaliana	Plants	359		0	False	4.0	train
P47164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	639		0	False	1.0	train
P86009	Dromaius novaehollandiae	Metazoa	238	17.0	1		4.0	train
P31419	Manduca sexta	Metazoa	161	20.0	1		4.0	train
O55081	Rattus norvegicus	Metazoa	1135		0	False	0.0	train
O42975	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	972		0	False	3.0	train
Q9N4D8	Caenorhabditis elegans	Metazoa	123	17.0	1		2.0	train
Q99LT0	Mus musculus	Metazoa	99		0	False	3.0	train
Q3E772	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	92		0	False	3.0	train
Q9ZV24	Arabidopsis thaliana	Plants	148		0	True	3.0	train
P98149	Drosophila melanogaster	Metazoa	667		0	False	4.0	train
P40072	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274		0	False	3.0	train
Q9DCR4	Mus musculus	Metazoa	169		0	False	4.0	train
Q8IS16	Dictyostelium discoideum	Other	604		0	False	1.0	train
P18417	Catharanthus roseus	Plants	352	31.0	1		0.0	train
Q9USU8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	551		0	False	1.0	train
P92948	Arabidopsis thaliana	Plants	844		0	False	2.0	train
Q7T0L4	Gallus gallus	Metazoa	329		0	False	0.0	train
Q62908	Rattus norvegicus	Metazoa	193		0	False	1.0	train
Q810J8	Mus musculus	Metazoa	777		0	False	1.0	train
P40023	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	145		0	False	2.0	train
Q969G3	Homo sapiens	Metazoa	411		0	False	2.0	train
Q924L1	Mus musculus	Metazoa	360		0	False	3.0	train
Q9P6M0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	419		0	False	4.0	train
P34219	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	525		0	False	3.0	train
Q9JJG9	Mus musculus	Metazoa	693		0	False	1.0	train
O22160	Arabidopsis thaliana	Plants	224		0	False	2.0	train
Q6NPM8	Arabidopsis thaliana	Plants	346		0	False	2.0	train
Q9NX55	Homo sapiens	Metazoa	121		0	False	4.0	train
O09174	Mus musculus	Metazoa	381		0	False	3.0	train
F4IHS2	Arabidopsis thaliana	Plants	3574		0	False	4.0	train
Q8VYD4	Arabidopsis thaliana	Plants	867		0	True	2.0	train
P53317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	196		0	False	4.0	train
Q9NRP2	Homo sapiens	Metazoa	79		0	False	0.0	train
Q8NG31	Homo sapiens	Metazoa	2342		0	False	3.0	train
Q12259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	485		0	False	2.0	train
Q8TCY5	Homo sapiens	Metazoa	172		0	True	2.0	train
P16048	Pisum sativum	Plants	165		0	False	4.0	train
P26017	Drosophila melanogaster	Metazoa	390		0	False	1.0	train
O82259	Arabidopsis thaliana	Plants	225		0	False	3.0	train
P34707	Caenorhabditis elegans	Metazoa	623		0	False	1.0	train
Q9BT78	Homo sapiens	Metazoa	406		0	False	0.0	train
Q91W39	Mus musculus	Metazoa	579		0	False	4.0	train
Q9VQD6	Drosophila melanogaster	Metazoa	381		0	False	3.0	train
O94782	Homo sapiens	Metazoa	785		0	False	1.0	train
Q03071	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	99		0	False	3.0	train
P24391	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	349		0	False	3.0	train
P02814	Homo sapiens	Metazoa	79	22.0	1		2.0	train
Q8BNX7	Mus musculus	Metazoa	165		0	False	4.0	train
A0A0D1E6B3	Mycosarcoma maydis	Fungi	435		0	True	4.0	train
Q8N1G1	Homo sapiens	Metazoa	1221		0	False	1.0	train
Q1EHW4	Mus musculus	Metazoa	186		0	False	1.0	train
Q41142	Ricinus communis	Plants	808		0	False	1.0	train
Q8L7F7	Arabidopsis thaliana	Plants	739		0	False	1.0	train
Q9Y2B4	Homo sapiens	Metazoa	290		0	False	4.0	train
Q8I397	Plasmodium falciparum (isolate 3D7)	Other	1199		0	True	1.0	train
Q8HTL5	Chlamydomonas reinhardtii	Plants	175		0	True	3.0	train
Q9DBL9	Mus musculus	Metazoa	351		0	False	0.0	train
Q13445	Homo sapiens	Metazoa	227	23.0	1		1.0	train
Q9VMD0	Drosophila melanogaster	Metazoa	1659		0	False	3.0	train
Q12084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	232		0	False	4.0	train
O65312	Arabidopsis thaliana	Plants	689		0	False	1.0	train
Q9BRJ2	Homo sapiens	Metazoa	306		0	False	1.0	train
Q9BZF1	Homo sapiens	Metazoa	889		0	False	0.0	train
Q86WV6	Homo sapiens	Metazoa	379		0	True	2.0	train
B7Z0I7	Drosophila melanogaster	Metazoa	351		0	False	1.0	train
Q90ZN1	Gallus gallus	Metazoa	177		0	True	2.0	train
O74400	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	674		0	False	2.0	train
P15505	Gallus gallus	Metazoa	1004		0	False	1.0	train
P21620	Leishmania donovani	Other	514		0	False	1.0	train
G5EDM7	Caenorhabditis elegans	Metazoa	627		0	False	3.0	train
Q64318	Mus musculus	Metazoa	1117		0	False	4.0	train
Q9SIV2	Arabidopsis thaliana	Plants	891		0	False	2.0	train
P18263	Chlamydomonas reinhardtii	Plants	46		0	True	2.0	train
O61715	Caenorhabditis elegans	Metazoa	454		0	True	2.0	train
Q9FNZ4	Arabidopsis thaliana	Plants	112		0	False	2.0	train
Q924C5	Mus musculus	Metazoa	1680		0	False	2.0	train
P55203	Bos taurus	Metazoa	1110	56.0	1		3.0	train
P20826	Mus musculus	Metazoa	273	25.0	1		1.0	train
Q7TNG8	Mus musculus	Metazoa	484		0	False	2.0	train
Q9VQD4	Drosophila melanogaster	Metazoa	274		0	False	1.0	train
Q8N726	Homo sapiens	Metazoa	132		0	False	3.0	train
Q2V2P9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	66		0	True	2.0	train
Q2Z1W2	Gallus gallus	Metazoa	345		0	False	3.0	train
P39979	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	161		0	False	0.0	train
P53239	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	316		0	False	0.0	train
O22920	Arabidopsis thaliana	Plants	831		0	True	3.0	train
P93009	Arabidopsis thaliana	Plants	182		0	False	3.0	train
Q8K2T8	Mus musculus	Metazoa	535		0	False	4.0	train
P27919	Avena sativa	Plants	214	28.0	1		2.0	train
Q91YJ3	Mus musculus	Metazoa	226		0	False	3.0	train
Q62192	Mus musculus	Metazoa	661	20.0	1		2.0	train
Q9EP97	Mus musculus	Metazoa	568		0	False	2.0	train
P47821	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	323		0	False	1.0	train
Q94BV2	Arabidopsis thaliana	Plants	181		0	False	0.0	train
Q9VNS0	Drosophila melanogaster	Metazoa	459		0	False	1.0	train
Q6P2E9	Homo sapiens	Metazoa	1401		0	False	0.0	train
Q9SZH4	Arabidopsis thaliana	Plants	495		0	False	2.0	train
Q9Y7U4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	328		0	False	3.0	train
Q12374	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	616		0	False	3.0	train
Q9NUX5	Homo sapiens	Metazoa	634		0	False	1.0	train
Q9JMA2	Mus musculus	Metazoa	403		0	False	1.0	train
Q9ERS2	Mus musculus	Metazoa	144		0	True	3.0	train
Q10290	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	303		0	False	2.0	train
O70456	Mus musculus	Metazoa	248		0	False	2.0	train
Q84LB6	Solanum lycopersicum	Plants	417		0	False	2.0	train
Q9BV90	Homo sapiens	Metazoa	132		0	False	2.0	train
Q9Y2I9	Homo sapiens	Metazoa	924		0	False	4.0	train
Q76FP5	Hypocrea rufa	Fungi	479	20.0	1		3.0	train
Q08481	Mus musculus	Metazoa	727	17.0	1		1.0	train
P38532	Mus musculus	Metazoa	525		0	False	2.0	train
Q9D742	Mus musculus	Metazoa	170		0	False	4.0	train
Q8L8M9	Arabidopsis thaliana	Plants	442		0	False	4.0	train
Q9NRY2	Homo sapiens	Metazoa	104		0	False	4.0	train
Q00497	Solanum lycopersicum	Plants	300		0	False	1.0	train
O60216	Homo sapiens	Metazoa	631		0	False	1.0	train
Q7XA66	Arabidopsis thaliana	Plants	242		0	False	1.0	train
P56288	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	458		0	False	3.0	train
Q6R327	Homo sapiens	Metazoa	1708		0	False	3.0	train
G3XKQ9	Oryza sativa subsp. japonica	Plants	394		0	False	3.0	train
Q2TAP0	Homo sapiens	Metazoa	167		0	False	4.0	train
P02381	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	398		0	False	4.0	train
P16965	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	84		0	False	0.0	train
Q9ZVJ3	Arabidopsis thaliana	Plants	550		0	False	1.0	train
P0C5Y7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	102		0	False	3.0	train
Q10B19	Oryza sativa subsp. japonica	Plants	250		0	False	4.0	train
Q8N5Y2	Homo sapiens	Metazoa	521		0	False	4.0	train
P18239	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	318		0	True	2.0	train
Q86MD3	Caenorhabditis elegans	Metazoa	509		0	False	1.0	train
P53067	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1004		0	False	1.0	train
P80304	Sepia officinalis	Metazoa	51		0	False	1.0	train
Q8CJ27	Mus musculus	Metazoa	3122		0	False	0.0	train
O95782	Homo sapiens	Metazoa	977		0	False	3.0	train
P09114	Nicotiana tabacum	Plants	664		0	False	3.0	train
P97414	Mus musculus	Metazoa	668		0	False	4.0	train
Q96EV8	Homo sapiens	Metazoa	351		0	False	2.0	train
Q08417	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	382		0	True	3.0	train
P38804	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111		0	False	2.0	train
Q9BXJ9	Homo sapiens	Metazoa	866		0	False	4.0	train
Q8BGS1	Mus musculus	Metazoa	731		0	False	2.0	train
Q9R1C7	Mus musculus	Metazoa	953		0	False	0.0	train
P23023	Drosophila melanogaster	Metazoa	549		0	False	1.0	train
E1JH25	Drosophila melanogaster	Metazoa	1876		0	False	1.0	train
Q8N695	Homo sapiens	Metazoa	610		0	True	1.0	train
Q29486	Felis catus	Metazoa	524	17.0	1		3.0	train
Q9XIP2	Arabidopsis thaliana	Plants	505		0	False	3.0	train
Q9UMY1	Homo sapiens	Metazoa	257		0	False	4.0	train
P18289	Drosophila melanogaster	Metazoa	289		0	False	0.0	train
I1SB12	Microdochium nivale	Fungi	495	22.0	1		4.0	train
O65502	Arabidopsis thaliana	Plants	395		0	False	3.0	train
Q7TNK1	Mus musculus	Metazoa	735		0	False	1.0	train
O11780	Sus scrofa	Metazoa	683	23.0	1		3.0	train
Q9Z125	Mus musculus	Metazoa	519		0	False	4.0	train
Q8BK30	Mus musculus	Metazoa	104		0	False	0.0	train
Q9WTQ8	Mus musculus	Metazoa	209		0	True	1.0	train
Q7Z2T5	Homo sapiens	Metazoa	733		0	False	0.0	train
P40041	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	505		0	False	3.0	train
P39990	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	126		0	False	1.0	train
Q9WTJ4	Mus musculus	Metazoa	500		0	False	1.0	train
P36120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	742		0	False	3.0	train
Q66K74	Homo sapiens	Metazoa	1059		0	False	3.0	train
Q96FE7	Homo sapiens	Metazoa	263	21.0	1		1.0	train
P0C7R1	Arabidopsis thaliana	Plants	239		0	False	3.0	train
Q9Y5Y3	Homo sapiens	Metazoa	372		0	True	1.0	train
Q9H2D6	Homo sapiens	Metazoa	2365		0	False	4.0	train
Q7TMF3	Mus musculus	Metazoa	145		0	False	4.0	train
Q9VRP5	Drosophila melanogaster	Metazoa	1038		0	False	3.0	train
Q95QK3	Caenorhabditis elegans	Metazoa	1061		0	False	4.0	train
O42807	Aspergillus niger	Fungi	281	21.0	1		4.0	train
Q9XH32	Spinacia oleracea	Plants	222		0	False	1.0	train
Q96B23	Homo sapiens	Metazoa	404		0	False	4.0	train
A2AKX3	Mus musculus	Metazoa	2646		0	False	3.0	train
Q12906	Homo sapiens	Metazoa	894		0	False	1.0	train
O74761	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	459		0	False	2.0	train
Q01560	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	414		0	False	3.0	train
Q9S7E9	Arabidopsis thaliana	Plants	481		0	False	0.0	train
P10676	Drosophila melanogaster	Metazoa	1501		0	False	3.0	train
Q5Q0E6	Arabidopsis thaliana	Plants	473		0	False	3.0	train
Q6IDA6	Arabidopsis thaliana	Plants	162		0	False	1.0	train
P78549	Homo sapiens	Metazoa	304		0	False	0.0	train
Q9BXL8	Homo sapiens	Metazoa	241		0	False	1.0	train
O95926	Homo sapiens	Metazoa	243		0	False	0.0	train
Q04002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1493		0	False	4.0	train
Q7Z3D4	Homo sapiens	Metazoa	306		0	False	2.0	train
P22362	Homo sapiens	Metazoa	96	23.0	1		0.0	train
P25364	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	564		0	False	2.0	train
Q9SYM5	Arabidopsis thaliana	Plants	669		0	False	1.0	train
P19518	Oryctolagus cuniculus	Metazoa	222		0	True	1.0	train
Q96FI4	Homo sapiens	Metazoa	390		0	False	1.0	train
Q12223	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238		0	False	2.0	train
Q9URT4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	697		0	False	2.0	train
Q9P7P1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	147		0	False	2.0	train
P33301	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	854		0	False	2.0	train
Q12167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	365		0	False	2.0	train
Q8JFQ0	Bombina maxima	Metazoa	96	19.0	1		3.0	train
P49599	Arabidopsis thaliana	Plants	388		0	False	2.0	train
P38074	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	348		0	False	0.0	train
P38297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	855		0	False	2.0	train
Q8R1I1	Mus musculus	Metazoa	64		0	True	1.0	train
P00973	Homo sapiens	Metazoa	400		0	False	0.0	train
Q8QFX1	Gallus gallus	Metazoa	1325		0	False	0.0	train
Q7TPD6	Mus musculus	Metazoa	673		0	False	3.0	train
Q07807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	879		0	False	3.0	train
Q9NUQ6	Homo sapiens	Metazoa	558		0	False	3.0	train
Q6PFX2	Mus musculus	Metazoa	281		0	False	3.0	train
P36527	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	147		0	False	3.0	train
P23511	Homo sapiens	Metazoa	347		0	False	4.0	train
A0A455ZAR2	Homo sapiens	Metazoa	87		0	False	4.0	train
O14044	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	241		0	False	1.0	train
Q80U87	Mus musculus	Metazoa	1080		0	False	0.0	train
P81999	Canis lupus familiaris	Metazoa	358	22.0	1		1.0	train
Q6B9X6	Dictyostelium discoideum	Other	625		0	False	4.0	train
P40517	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327		0	False	0.0	train
Q9VX09	Drosophila melanogaster	Metazoa	607		0	False	3.0	train
Q9LML2	Arabidopsis thaliana	Plants	979		0	False	2.0	train
A6YSL1	Zea mays	Plants	525		0	False	3.0	train
Q8GT66	Pisum sativum	Plants	436		0	False	0.0	train
P47140	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327		0	False	4.0	train
O22773	Arabidopsis thaliana	Plants	216		0	False	4.0	train
P80513	Bos taurus	Metazoa	179	21.0	1		0.0	train
P27882	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	189		0	False	2.0	train
Q9V463	Drosophila melanogaster	Metazoa	1365		0	False	0.0	train
Q9XFT3	Arabidopsis thaliana	Plants	224		0	False	4.0	train
P53803	Homo sapiens	Metazoa	58		0	False	3.0	train
Q02085	Mus musculus	Metazoa	264		0	False	1.0	train
Q09666	Homo sapiens	Metazoa	5890		0	False	4.0	train
P33240	Homo sapiens	Metazoa	577		0	False	0.0	train
P38660	Mesocricetus auratus	Metazoa	439	19.0	1		0.0	train
P98066	Homo sapiens	Metazoa	277	17.0	1		4.0	train
Q96NE9	Homo sapiens	Metazoa	622		0	False	1.0	train
P50105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	388		0	False	2.0	train
Q9UMS0	Homo sapiens	Metazoa	254		0	False	2.0	train
P34241	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1764		0	False	0.0	train
Q00381	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	147		0	False	1.0	train
O95476	Homo sapiens	Metazoa	244		0	True	0.0	train
Q9UT91	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	211		0	True	4.0	train
A0A0F7G352	Vanilla planifolia	Plants	356		0	False	4.0	train
P53620	Bos taurus	Metazoa	874		0	False	1.0	train
P53259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	346		0	False	2.0	train
Q00416	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2231		0	False	0.0	train
P22265	Drosophila melanogaster	Metazoa	954		0	False	0.0	train
Q10204	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	250		0	False	4.0	train
O75324	Homo sapiens	Metazoa	88		0	True	1.0	train
Q99JS0	Mus musculus	Metazoa	100		0	True	1.0	train
P38228	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	572		0	False	3.0	train
P02743	Homo sapiens	Metazoa	223	19.0	1		4.0	train
Q9BY77	Homo sapiens	Metazoa	421		0	False	0.0	train
Q04213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	475		0	False	4.0	train
P32344	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111		0	False	2.0	train
P0DUQ6	Conus planorbis	Metazoa	70	21.0	1		0.0	train
Q96T68	Homo sapiens	Metazoa	719		0	False	2.0	train
O22210	Arabidopsis thaliana	Plants	248		0	False	0.0	train
Q9GZP8	Homo sapiens	Metazoa	106		0	False	4.0	train
P97376	Mus musculus	Metazoa	258		0	False	3.0	train
Q9VDE8	Drosophila melanogaster	Metazoa	974		0	False	1.0	train
Q700C7	Arabidopsis thaliana	Plants	364		0	False	3.0	train
A2A5K6	Mus musculus	Metazoa	1337		0	False	1.0	train
Q90ZA1	Xenopus laevis	Metazoa	631		0	False	2.0	train
H2KZH5	Caenorhabditis elegans	Metazoa	621		0	False	4.0	train
Q12874	Homo sapiens	Metazoa	501		0	False	4.0	train
Q02354	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	440		0	False	1.0	train
O60733	Homo sapiens	Metazoa	806		0	False	2.0	train
Q6TAS3	Solanum lycopersicum	Plants	902		0	False	3.0	train
Q96PZ0	Homo sapiens	Metazoa	661		0	False	0.0	train
Q9CAP8	Arabidopsis thaliana	Plants	691		0	False	1.0	train
